post_uri;post_url;post_cid;text;createdAt_post;indexedAt_post;embed;likeCount;repostCount;replyCount;did;handle;displayName;followersCount;followsCount;postsCount;createdAt_profile;indexedAt_profile;viewer_muted;viewer_following;viewer_blockedBy;labels;collectedAt
at://did:plc:hqmqz4ipokf53255gztthmpm/app.bsky.feed.post/3lrzengvwak25;https://bsky.app/profile/inkedmum7377.bsky.social/post/3lrzengvwak25;bafyreibcfyjl6yckjhbzovimw6h4nkjieg25uqrd77jtigfazei5f4yike;You know what to do Bluesky 😁😁;2025-06-20T06:05:40.131Z;2025-06-20T06:05:40.352Z;"""record=Main(cid='bafyreih3tvc427zhx5idy77emsd4ly6fzugirrcvit5qjzpiz2zwjvbus4', uri='at://did:plc:gqs6bj7a2oz6vou4r6mivqwm/app.bsky.feed.post/3lrxg24xani2q', py_type='com.atproto.repo.strongRef') py_type='app.bsky.embed.record'""";0;0;0;did:plc:hqmqz4ipokf53255gztthmpm;inkedmum7377.bsky.social;Claire💚AKA InkedMum💚#FBPE#FuckDeform#KTTO 🚫NO maga 🚫;0;0;0;2023-09-05T14:42:08.858Z;;False;;False;[];2025-06-20T09:06:10.533319Z
at://did:plc:uwncnvn3nku2pnsylrxvqapi/app.bsky.feed.post/3lrzemg3vns2c;https://bsky.app/profile/keroppi.lol/post/3lrzemg3vns2c;bafyreifdr6sk3wgkpbz3msgb5p2oubg2llxaoiknhe7adoll2nrocw7qyy;bluesky is yapper nation;2025-06-20T06:05:05.723Z;2025-06-20T06:05:07.541Z;"""external=External(description='ALT: a black and white cat is walking on a wooden deck .', title='a black and white cat is walking on a wooden deck .', uri='https://media.tenor.com/13MO7LUAShwAAAAC/fadding-cat.gif?hh=498&ww=479', thumb=BlobRef(mime_type='image/jpeg', size=179937, ref=IpldLink(link='bafkreidliqazttqxthflurq6lbeif7h36pgwfxeqginhc6mosgbwq6462y'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""";1;0;0;did:plc:uwncnvn3nku2pnsylrxvqapi;keroppi.lol;minty 🍀;0;0;0;2025-03-24T22:29:27.842Z;;False;;False;[];2025-06-20T09:06:10.535340Z
at://did:plc:tegp6gz6pyfxb2m7pghoiw64/app.bsky.feed.post/3lrzem4k5i22e;https://bsky.app/profile/jamiec68.bsky.social/post/3lrzem4k5i22e;bafyreiaukdvyc65uqewrno7z4kj4q2j6hu2cqp2cqan6oyf4c5wl4a4lua;Seen a lot of posts saying NUFC Bluesky is way more chilled than Twatter, and it is, but fuck me, it can be relentlessly negative and sulky. If it’s in any way representative of peoples’ internal workings, there’s a fair few of you need to get a creative hobby, or watch some nature documentaries eh.;2025-06-20T06:04:55.702Z;2025-06-20T06:04:57.137Z;{};18;1;4;did:plc:tegp6gz6pyfxb2m7pghoiw64;jamiec68.bsky.social;;0;0;0;2025-01-21T22:29:24.244Z;;False;;False;[];2025-06-20T09:06:10.535340Z
at://did:plc:wkweivktua52zuc7v2xme2j7/app.bsky.feed.post/3lrzelq2r7c23;https://bsky.app/profile/ukulella.bsky.social/post/3lrzelq2r7c23;bafyreiboaeoeocenrvak3rxufireyxu6kyc63v47dr2jjk7ptwb4tc6f5u;Nooooo I have videos from a show I played but they’re longer than the Bluesky limit :(;2025-06-20T06:04:42.618Z;2025-06-20T06:04:43.738Z;{};0;0;0;did:plc:wkweivktua52zuc7v2xme2j7;ukulella.bsky.social;evan :);0;0;0;2024-12-04T18:12:08.646Z;;False;;False;[];2025-06-20T09:06:10.535340Z
at://did:plc:wmr6nx6bl2biemfsvbm3y54i/app.bsky.feed.post/3lrzel7qdcr2k;https://bsky.app/profile/smhaustralia.nzcow.com/post/3lrzel7qdcr2k;bafyreiczrrs6gmmpaktvo76qhm5yuawnscg33xy5vursiw3nbpizesi44y;📢 Harry Potter: A Forbidden Forest Experience has landed in Brisbane after worldwide acclaim. Does it live up to the buzz? Here’s our verdict.  👉 Bot to check Bluesky account creation dates;2025-06-20T06:04:25.401677+00:00;2025-06-20T06:04:26.440Z;"""external=External(description='', title='Is Brisbane\u2019s new Harry Potter forest experience worth the galleons?', uri='https://www.smh.com.au/national/queensland/is-brisbane-s-new-harry-potter-forest-experience-worth-the-galleons-20250619-p5m8qa.html', thumb=BlobRef(mime_type='image/jpeg', size=79604, ref=IpldLink(link='bafkreigmlpvwelvokyqg4cs6uvkeglfuasf7mkpveq3ktnymxta5ry3c4m'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""";0;0;0;did:plc:wmr6nx6bl2biemfsvbm3y54i;smhaustralia.nzcow.com;The Sydney Morning Herald (unofficial);0;0;0;2024-12-07T01:33:38.145Z;;False;;False;[];2025-06-20T09:06:10.535340Z
at://did:plc:n27ycnnacbukz5rb3xkwmgxx/app.bsky.feed.post/3lrzekvrxwk25;https://bsky.app/profile/truebeat.bsky.social/post/3lrzekvrxwk25;bafyreiawivbez43qnttbskucbb47usju6v2llk6tfoxpodppwf2euph2za;HOW DID THIS GET 50 LIKES??? WTF BLUESKY?? WHY????? DO PEOPLE LIKE ENBY'S IN DRESSES THAT MUCH????;2025-06-20T06:04:15.064Z;2025-06-20T06:04:18.037Z;"""record=Main(cid='bafyreieqe7rtadvf6ikacedu6aerkg5g3ousubgqwy3i4tkk7xzdifblrq', uri='at://did:plc:n27ycnnacbukz5rb3xkwmgxx/app.bsky.feed.post/3lrzabe2prc25', py_type='com.atproto.repo.strongRef') py_type='app.bsky.embed.record'""";10;0;4;did:plc:n27ycnnacbukz5rb3xkwmgxx;truebeat.bsky.social;VibeWave;0;0;0;2024-11-05T21:43:58.379Z;;False;;False;[];2025-06-20T09:06:10.535340Z
at://did:plc:i53e6y3liw2oaw4s6e6odw5m/app.bsky.feed.post/3lrzekmlmiq2g;https://bsky.app/profile/bluesky.awakari.com/post/3lrzekmlmiq2g;bafyreiggjqwgi35ri2xys22qtengdxhutrs24we6tp6kby4dsh3p63ncka;@ SymTrkl @ LaurensHof It's just so frustrating that everytime you turn around someone is trying to sign you up for something you don't want. Just keep your hands off. If we want to go to Bluesky we know how to do it.   Interest | Match | Feed;2025-06-20T06:04:05Z;2025-06-20T06:04:05.836Z;"""external=External(description='Origin', title='', uri='https://mastodon.online/users/mastodonmigration/statuses/114714174348791859', thumb=None, py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""";0;0;0;did:plc:i53e6y3liw2oaw4s6e6odw5m;bluesky.awakari.com;Awakari;0;0;0;2025-04-30T15:30:35.574Z;;False;;False;[];2025-06-20T09:06:10.535340Z
at://did:plc:evemyanilrms35yhhuhc425s/app.bsky.feed.post/3lrzej637422j;https://bsky.app/profile/tylerbigbyrd.bsky.social/post/3lrzej637422j;bafyreici7k4a2nbhmnhnzgfchklmb4rqulitewpivo242j44oygvzmwbwa;Welcome to Bluesky!;2025-06-20T06:03:16.643Z;2025-06-20T06:03:18.636Z;"""images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=113916, ref=IpldLink(link='bafkreibjeydyvsfuzczhdjuq63ca6a4bd62wzhwfph4chznpjf7jp7urcu'), py_type='blob'), aspect_ratio=AspectRatio(height=442, width=1056, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""";2;0;0;did:plc:evemyanilrms35yhhuhc425s;tylerbigbyrd.bsky.social;Angry Byrd;0;0;0;2024-11-14T13:36:21.325Z;;False;;False;[];2025-06-20T09:06:10.535340Z
at://did:plc:qfo32kui3r7t4qjjei4bgqud/app.bsky.feed.post/3lrzei6uttk24;https://bsky.app/profile/msamberguesa.bsky.social/post/3lrzei6uttk24;bafyreibg6oydrmqmq43u6cieta5r27sshvpaj6ssv7ry526m6zyreflxeq;I keep forgetting I have a Bluesky. #ass #heels #musclemommy #thicc #trans #crossdresser #twospirit #queer #lingerie;2025-06-20T06:02:43.931Z;2025-06-20T06:02:47.144Z;"""images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=931551, ref=IpldLink(link='bafkreihlbd3vquel2fqjic7cphfidrll7nacpfdkghobof4uy6wpqugx6a'), py_type='blob'), aspect_ratio=AspectRatio(height=2000, width=1500, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""";0;0;0;did:plc:qfo32kui3r7t4qjjei4bgqud;msamberguesa.bsky.social;Ms. Amber Guesa;0;0;0;2024-11-10T14:40:30.679Z;;False;;False;[];2025-06-20T09:06:10.536369Z
at://did:plc:xoyz6o5t4uhaulrifvyf26wx/app.bsky.feed.post/3lrzefrq3tk2t;https://bsky.app/profile/ahmbrand213.bsky.social/post/3lrzefrq3tk2t;bafyreie3n57va7nvyi7ofguqluuzemx5tayyfchqffanndoiy374fa72se;Did Somebody Say Treats..  #cats #clips #treats #hidden #trending #viral #following #fyp #worldwide #bluesky #AHMBrand #AHMSG #StopGo;2025-06-20T06:01:23.038Z;2025-06-20T06:01:24.736Z;"""video=BlobRef(mime_type='video/mp4', size=747056, ref=IpldLink(link='bafkreibaka34tooxlqbfrwh6mzralmuek6ynidxx6nk22e5mnxcbf7mply'), py_type='blob') alt=None aspect_ratio=AspectRatio(height=960, width=544, py_type='app.bsky.embed.defs#aspectRatio') captions=None py_type='app.bsky.embed.video'""";1;0;0;did:plc:xoyz6o5t4uhaulrifvyf26wx;ahmbrand213.bsky.social;Animals Hilarious Moments;0;0;0;2025-06-02T08:04:02.140Z;;False;;False;[];2025-06-20T09:06:10.536369Z
